Pays,Gentilés_m,Gentilés_f
le Qatar,Qatarien,Qatarienne  
le Qatar,Qatari  ,
le Qatar,Qatariote,
la République centrafricaine,Centrafricain,Centrafricaine
la République dominicaine,Dominicain,Dominicaine
Tchéquie,Tchèque,
la République tchèque ,Tchèque,
la Roumanie,Roumain,Roumaine
le Royaume-Uni,Britannique,
la Russie,Russe,
le Rwanda,Rwandais,Rwandaise
Saint-Christophe-et-Niévès,Christophien,Christophienne
Saint-Marin,Saint-Marinais,Saint-Marinaise
Saint-Vincent-et-les-Grenadines,Vincentais,Vincentaise
Sainte-Lucie,Lucien,Lucienne
le Salvador,Salvadorien,Salvadorienne
les Samoa,Samoan,Samoane
Sao Tomé-et-Principe,Santoméen,Santoméenne
le Sénégal,Sénégalais,Sénégalaise
la Serbie,Serbe,
les Seychelles,Seychellois,Seychelloise
la Sierra Leone,Sierraléonais,Sierraléonaise
Singapour,Singapourien,Singapourienne
la Slovaquie,Slovaque,
la Slovénie,Slovène,
la Somalie,Somalien,Somalienne
le Soudan,Soudanais,Soudanaise
le Sri Lanka,Srilankais,Srilankaise  
le Sri Lanka,Sri-Lankais,Sri-Lankaise
la Suisse,Suisse,
le Suriname,Surinamien,Surinamienne  
le Suriname,Surinamais,Surinamaise
la Suède,Suédois,Suédoise
le Swaziland,Swazi,Swazie
la Syrie,Syrien,Syrienne
le Tadjikistan,Tadjik,Tadjike
la Tanzanie,Tanzanien,Tanzanienne
Taïwan,Taïwanais,Taïwanaise
le Tchad,Tchadien,Tchadienne
la Thaïlande,Thaïlandais,Thaïlandaise
le Tibet,Tibétain,Tibétaine
le Timor oriental,Est-timorais,Est-timoraise
le Togo,Togolais,Togolaise
les Tonga,Tongien,Tongienne
Trinité-et-Tobago,Trinidadien,Trinidadienne
la Tunisie,Tunisien,Tunisienne
le Turkménistan,Turkmène,
la Turquie,Turc,Turque
les Tuvalu,Tuvaluan,Tuvaluane
l’Ukraine,Ukrainien,Ukrainienne
l’Uruguay,Uruguayen,Uruguayenne
le Vanuatu,Vanuatais,Vanuataise
le Vatican,Vatican,Vaticane
le Venezuela,Vénézuélien,Vénézuélienne
le Viêt Nam oder Viêtnam oder Vietnam,Vietnamien,Vietnamienne
le Yémen,Yéménite,
la Zambie,Zambien,Zambienne
le Zimbabwe,Zimbabwéen,Zimbabwéenne
