Country_full,Country_simple,Gentilicio_first,Gentilioco_alternative
Letonia (Rep£blica de),Letonia ,let¢n,
Liberia (Rep£blica de),Liberia ,liberiano,liberiana
Libia (Estado de),Libia ,libio,libiia
Liechtenstein (Principado de),Liechtenstein ,liechtensteiniano,liechtensteiniana
Lituania (Rep£blica de),Lituania ,lituano,lituana
Luxemburgo (Gran Ducado de),Luxemburgo ,luxemburgu‚s,luxemburguesa
L¡bano,L¡bano,liban‚s,libanesa
Macao,Macao,macaense,
Macedonia del Norte (Rep£blica de),Macedonia del Norte ,#SPILL!,"macedonia, ciudadano/-a de la Rep£blica de Macedonia del Norte"
Madagascar (Rep£blica de),Madagascar ,malgache,
Malasia,Malasia,malasio,malasiia
Malaui (Rep£blica de),Malaui ,malau¡,
Maldivas (Rep£blica de),Maldivas ,maldivo,maldiva
Mali (Rep£blica de),Mali ,mal¡,
Malta (Rep£blica de),Malta ,malt‚s,maltesa
Marruecos (Reino de),Marruecos ,marroqu¡,
Mauricio (Rep£blica de),Mauricio ,mauriciano,mauriciana
Mauritania (Rep£blica Isl mica de),Mauritania ,mauritano,mauritana
M‚xico ,M‚xico ,mexicano,mexicana
Micronesia (Estados Federados de),Micronesia ,micronesio,micronesiia
Moldavia (Rep£blica de),Moldavia ,moldavo,moldava
M¢naco (Principado de),M¢naco ,monegasco,monegasca
Mongolia,Mongolia,"mongol, mongola",
Montenegro,Montenegro,montenegrino,montenegrina
Mozambique (Rep£blica de),Mozambique ,mozambique¤o,mozambique¤a
Myanmar/Birmania,Myanmar/Birmania,de Myanmar,Birmania
Namibia (Rep£blica de),Namibia ,namibio,namibibia
Nauru (Rep£blica de),Nauru ,nauruano,nauruanna
Nepal (Rep£blica Democr tica Federal de),Nepal ,nepal‚s,nepalesa
Nicaragua (Rep£blica de),Nicaragua ,nicaragense,
Nigeria (Rep£blica Federal de),Nigeria ,nigeriano,nigeriana
Noruega (Reino de),Noruega ,noruego,noruega
Nueva Zelanda,Nueva Zelanda,neozeland‚s,neozelandesa
N¡ger (Rep£blica de),N¡ger ,nigerino,nigerina
Om n (Sultanato de),Om n ,oman¡,
Pakist n (Rep£blica Isl mica de),Pakist n ,pakistan¡,
Palaos (Rep£blica de),Palaos ,palauano,palauana
Palestina (Estado de),Palestina ,palestino,palestinn
Panam  (Rep£blica de),Panam  ,paname¤o,paname¤a
Pap£a Nueva Guinea (Estado Independiente de),Pap£a Nueva Guinea ,pap£,
Paraguay (Rep£blica de),Paraguay ,paraguayo,paraguaya
Pa¡ses Bajos (Reino de los),Pa¡ses Bajos ,neerland‚s,neerlandesa
Per£ (Rep£blica de),Per£ ,peruano,peruana
Polonia (Rep£blica de),Polonia ,polaco,polaca
Portugal ,Portugal ,portugu‚s,portuguesa
Puerto Rico (Estado Libre Asociado de),Puerto Rico ,puertorrique¤o,puertorrique¤a
Reino Unido,Reino Unido,brit nico,brit nica
Rep£blica Centroafricana,Rep£blica Centroafricana,centroafricano,centroafricana
"Rep£blica Checa, Chequia","Rep£blica Checa, Chequia",checo,checa
Rep£blica Dominicana,Rep£blica Dominicana,dominicano,dominicana
Ruanda (Rep£blica de),Ruanda ,ruand‚s,ruandesa
Ruman¡a,Ruman¡a,rumano,rumana
Rusia (Federaci¢n de),Rusia ,ruso,rusa
S hara Occidental,S hara Occidental,saharahui,
Samoa (Estado Independiente de),Samoa ,samoano,samoana
San Crist¢bal y Nieves (Federaci¢n de),San Crist¢bal y Nieves ,sancristobale¤o,sancristobale¤a
San Marino (Rep£blica de),San Marino ,sanmarinense,
San Vicente y las Granadinas,San Vicente y las Granadinas,sanvicentino,sanvicentina
Santa Luc¡a,Santa Luc¡a,santalucense,
Santo Tom‚ y Pr¡ncipe (Rep£blica Democr tica de),Santo Tom‚ y Pr¡ncipe ,santotomense,
Senegal (Rep£blica de),Senegal ,senegal‚s,senegalesa
Serbia (Rep£blica de),Serbia ,serbio,serbiia
Seychelles (Republica de),Seychelles ,seychellense,
Sierra Leona (Rep£blica de),Sierra Leona ,sierraleon‚s,sierraleonesa
Singapur (Rep£blica de),Singapur ,singapurense,
Siria (Rep£blica ?rabe),Siria ,sirio,siria
Somalia (Rep£blica Federal de),Somalia ,somal¡,
Sri Lanka (Rep£blica Socialista Democr tica de),Sri Lanka ,esrilanqu‚s,esrilanquesa
Suazilandia o Reino de Esuatini,Suazilandia o Reino de Esuatini,esuatin¡,
Sud frica (Rep£blica de),Sud frica ,sudafricano,sudafricana
Sud n (Rep£blica del),Sud n ,sudan‚s,
Sud n del Sur (Rep£blica de),Sud n del Sur ,sursudan‚s,
Suecia (Reino de),Suecia ,sueco,suecca
Suiza (Confederaci¢n),Suiza ,suizo,suizza
Surinam (Rep£blica de),Surinam ,surinam‚s,surinamesa
Tailandia (Reino de),Tailandia ,tailand‚s,tailandesa
Taiw n,Taiw n,taiwan‚s,taiwanesa
Tanzania (Rep£blica Unida de),Tanzania ,tanzano,tanzana
Tayikist n (Rep£blica de),Tayikist n ,tayiko,tayika
Timor Oriental (Rep£blica Democr tica de),Timor Oriental ,timorense,
Togo,Togo,togol‚s,togolesa
Tonga (Reino de),Tonga ,tongano,tongana
Trinidad y Tobago (Republica de),Trinidad y Tobago ,trinitense,
T£nez (Rep£blica de),T£nez ,tunecino,tunecina
Turkmenist n,Turkmenist n,turcomano,turcomana
Turqu¡a (Rep£blica de),Turqu¡a ,turco,turcca
Tuvalu,Tuvalu,tuvaluano,tuvaluana
Ucrania,Ucrania,ucraniano,ucraniana
Uganda (Rep£blica de),Uganda ,ugand‚s,ugandesa
Uruguay (Rep£blica Oriental de),Uruguay ,uruguayo,uruguayya
Uzbekist n (Rep£blica de),Uzbekist n ,uzbeko,uzbeka
Vanuatu (Rep£blica de),Vanuatu ,vanuatuense,
Venezuela (Rep£blica Bolivariana de),Venezuela ,venezolano,venezolana
Vietnam (Rep£blica Socialista de),Vietnam ,vietnamita,
Yemen (Rep£blica de),Yemen ,yemen¡,
Zambia (Rep£blica de),Zambia ,zambiano,zambiana
Zimbabue (Rep£blica de),Zimbabue ,zimbabuense,
